=================================	INIT TIME:	2023-06-21 19:15:09	=====================================
[2023-06-21 19:16:20]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '14493']	[STATUS => 1]
[2023-06-21 19:16:21]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '14605']	[STATUS => 1]
[2023-06-21 19:16:23]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '14484']	[STATUS => 1]
[2023-06-21 19:16:24]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '14483']	[STATUS => 1]
[2023-06-21 19:16:26]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '20789']	[STATUS => 1]
[2023-06-21 19:16:27]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '19316']	[STATUS => 1]
[2023-06-21 19:16:28]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '19317']	[STATUS => 1]
[2023-06-21 19:16:29]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '19315']	[STATUS => 1]
[2023-06-21 19:16:30]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '18614']	[STATUS => 1]
[2023-06-21 19:16:31]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '18613']	[STATUS => 1]
[2023-06-21 19:16:32]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '18612']	[STATUS => 1]
[2023-06-21 19:16:34]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '18605']	[STATUS => 1]
[2023-06-21 19:16:35]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '18609']	[STATUS => 1]
[2023-06-21 19:16:36]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '18608']	[STATUS => 1]
[2023-06-21 19:16:37]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '17319']	[STATUS => 1]
[2023-06-21 19:16:38]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '17317']	[STATUS => 1]
[2023-06-21 19:16:39]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '17316']	[STATUS => 1]
[2023-06-21 19:16:39]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '17315']	[STATUS => 1]
[2023-06-21 19:16:40]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '17199']	[STATUS => 1]
[2023-06-21 19:16:41]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '17188']	[STATUS => 1]
[2023-06-21 19:16:42]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '17179']	[STATUS => 1]
[2023-06-21 19:16:43]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '17157']	[STATUS => 1]
[2023-06-21 19:16:44]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '17168']	[STATUS => 1]
[2023-06-21 19:16:45]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '17147']	[STATUS => 1]
